travel2csb,age,dependency_family,dependency_single,occupation1,occupation2,occupation3,fullyowned,purchasing,renting,numberofschool,_1bed_unit_median_price,_1bed_unit_days,_1bed_unit_clearance,_1bed_unit_sold,_2bed_unit_median_price,_2bed_unit_days,_2bed_unit_clearance,_2bed_unit_sold,_3bed_unit_median_price,_3bed_unit_days,_3bed_unit_clearance,_3bed_unit_sold,_2bed_house_median_price,_2bed_house_days,_2bed_house_clearance,_2bed_house_sold,_3bed_house_median_price,_3bed_house_days,_3bed_house_clearance,_3bed_house_sold,_4bed_house_median_price,_4bed_house_days,_4bed_house_clearance,_4bed_house_sold,name,post
1 hour 43 mins,40 - 59,48.0,52.0,Construction,Manufacturing,Health Care/Social,29.0,45.0,26.0,3,,,,,,,,1,,,,,,,,3,400000.0,32,,23,463000.0,32,,32,Koo Wee Rup,3981
--,40 - 59,55.0,45.0,Agriculture,Construction,Manufacturing,38.0,47.0,16.0,1,,,,,,,,,,,,,,,,,,,,2,,,,1,Bayles,3981
--,40 - 59,62.0,38.0,Agriculture,Construction,Manufacturing,35.0,43.0,22.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Catani,3981
--,40 - 59,55.0,45.0,Agriculture,Manufacturing,Health Care/Social,47.0,36.0,17.0,0,,,,,,,,,,,,,,,,,,,,2,,,,,Heath Hill,3981
--,40 - 59,54.0,46.0,Agriculture,Manufacturing,Education & training,37.0,29.0,34.0,0,,,,,,,,,,,,,,,,1,,,,1,,,,,Yannathan,3981
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Dalmore,3981
3 hours 8 mins,60+,52.0,48.0,Construction,Health Care/Social,Manufacturing,43.0,34.0,23.0,1,,,,,,,,,,,,,,,,6,378000.0,260,,15,,,,8,Corinella,3984
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Jam Jerrup,3984
3 hours 6 mins,60+,44.0,56.0,Health Care/Social,Construction,Retail trade,43.0,25.0,32.0,0,,,,,,,,,,,,1,255000.0,127,,11,298000.0,205,,31,306000.0,,,10,Coronet Bay,3984
1 hour 59 mins,40 - 59,49.0,51.0,Manufacturing,Construction,Retail trade,37.0,40.0,23.0,1,,,,,,,,2,,,,,,,,5,345000.0,63,,14,410000.0,59,,11,Lang Lang,3984
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Lang Lang East,3984
2 hours 11 mins,40 - 59,34.0,66.0,Not Stated,Manufacturing,Construction,27.0,37.0,36.0,0,,,,,,,,,,,,,,,,6,260000.0,140,,13,,,,1,Pioneer Bay,3984
2 hours 18 mins,60+,43.0,57.0,Construction,Manufacturing,Hospitality,43.0,27.0,29.0,0,,,,,,,,,,,,,,,,8,308000.0,231,,20,340000.0,252,,17,Grantville,3984
3 hours 0 mins,60+,58.0,42.0,Agriculture,Construction,Retail trade,45.0,36.0,19.0,0,,,,,,,,,,,,,,,,1,,,,2,,,,4,Tenby Point,3984
2 hours 22 mins,60+,48.0,52.0,Agriculture,Manufacturing,Construction,46.0,29.0,25.0,0,,,,,,,,1,,,,,,,,2,,,,8,,,,2,The Gurdies,3984
2 hours 11 mins,40 - 59,57.0,43.0,Manufacturing,Construction,Health Care/Social,31.0,56.0,14.0,1,,,,,,,,,,,,,,,,2,443000.0,78,,13,,,,5,Nyora,3987
--,40 - 59,55.0,45.0,Agriculture,Manufacturing,Wholesale trade,48.0,37.0,15.0,1,,,,,,,,,,,,,,,,1,,,,8,,,,6,Poowong,3988
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Mountain View,3988
--,40 - 59,66.0,34.0,Agriculture,Manufacturing,Wholesale trade,36.0,33.0,32.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Poowong North,3988
--,40 - 59,53.0,47.0,Agriculture,Construction,Hospitality,43.0,35.0,22.0,0,,,,,,,,,,,,,,,,1,,,,2,,,,4,Bass,3991
2 hours 57 mins,60+,42.0,58.0,Construction,Health Care/Social,Retail trade,43.0,21.0,36.0,3,,,,1,229000.0,149,,12,,,,6,235000.0,208,,40,275000.0,95,,62,339000.0,77,,35,Wonthaggi,3995
2 hours 34 mins,40 - 59,55.0,45.0,Construction,Health Care/Social,Agriculture,46.0,31.0,23.0,0,,,,,,,,,,,,,,,,1,468000.0,301,,12,,,,2,Kilcunda,3995
--,60+,51.0,49.0,Construction,Health Care/Social,Education & training,44.0,25.0,31.0,0,,,,,,,,,,,,1,,,,6,381000.0,259,,29,442000.0,194,,15,Cape Paterson,3995
--,40 - 59,58.0,42.0,Agriculture,Construction,Hospitality,42.0,40.0,18.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Wattle Bank,3995
3 hours 51 mins,60+,56.0,44.0,Construction,Health Care/Social,Retail trade,47.0,22.0,30.0,0,,,,1,278000.0,399,,20,,,,7,363000.0,475,,38,435000.0,288,,116,535000.0,276,,111,Inverloch,3996
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,1,,,,,Pound Creek,3996
51 mins,40 - 59,47.0,53.0,Manufacturing,Health Care/Social,Education & training,43.0,24.0,33.0,3,,,,7,526000.0,83,82%,56,692000.0,98,,26,635000.0,67,84%,40,828000.0,67,66%,120,949000.0,103,78%,38,Altona,3018
