travel2csb,age,dependency_family,dependency_single,occupation1,occupation2,occupation3,fullyowned,purchasing,renting,numberofschool,_1bed_unit_median_price,_1bed_unit_days,_1bed_unit_clearance,_1bed_unit_sold,_2bed_unit_median_price,_2bed_unit_days,_2bed_unit_clearance,_2bed_unit_sold,_3bed_unit_median_price,_3bed_unit_days,_3bed_unit_clearance,_3bed_unit_sold,_2bed_house_median_price,_2bed_house_days,_2bed_house_clearance,_2bed_house_sold,_3bed_house_median_price,_3bed_house_days,_3bed_house_clearance,_3bed_house_sold,_4bed_house_median_price,_4bed_house_days,_4bed_house_clearance,_4bed_house_sold,name,post
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Wonwondah,3401
--,40 - 59,67.0,33.0,Agriculture,Health Care/Social,Public Sector/Safety,44.0,39.0,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Dooen,3401
6 hours 12 mins,40 - 59,62.0,38.0,Agriculture,Health Care/Social,Construction,56.0,23.0,21.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Pimpinio,3401
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,Bungalally,3401
5 hours 5 mins,40 - 59,66.0,34.0,Health Care/Social,Retail trade,Construction,40.0,50.0,10.0,1,,,,,,,,,,,,,,,,,,,,,,,,6,Haven,3401
--,40 - 59,64.0,36.0,Agriculture,Education & training,Health Care/Social,52.0,22.0,25.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Laharum,3401
--,40 - 59,70.0,30.0,Agriculture,Retail trade,Health Care/Social,50.0,43.0,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Lower Norton,3401
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,McKenzie Creek,3401
--,40 - 59,66.0,34.0,Health Care/Social,Construction,Agriculture,49.0,42.0,9.0,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Riverside,3401
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Toolondo,3401
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Wallup,3401
--,40 - 59,59.0,41.0,Agriculture,Health Care/Social,Education & training,50.0,19.0,31.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Brimpaen,3401
--,40 - 59,59.0,41.0,Agriculture,Other services,Retail trade,50.0,33.0,17.0,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Drung,3401
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Vectis,3401
5 hours 8 mins,40 - 59,51.0,49.0,Agriculture,Health Care/Social,Public Sector/Safety,58.0,25.0,16.0,1,,,,,,,,,,,,,,,,,,,,7,,,,2,Natimuk,3409
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Grass Flat,3409
5 hours 50 mins,60+,59.0,41.0,Agriculture,Health Care/Social,Education & training,62.0,18.0,20.0,1,,,,,,,,,,,,,,,,1,,,,1,,,,,Goroke,3412
6 hours 28 mins,60+,50.0,50.0,Health Care/Social,Transport/Warehouse,Agriculture,54.0,25.0,21.0,3,,,,,,,,1,,,,,,,,4,155000.0,297,,24,,,,2,Dimboola,3414
7 hours 3 mins,60+,55.0,45.0,Agriculture,Health Care/Social,Manufacturing,52.0,23.0,25.0,3,,,,,,,,,,,,,,,,3,140000.0,265,,15,,,,5,Nhill,3418
7 hours 54 mins,60+,59.0,41.0,Agriculture,Health Care/Social,Retail trade,55.0,23.0,22.0,1,,,,,,,,,,,,,,,,3,,,,4,,,,,Kaniva,3419
--,40 - 59,61.0,39.0,Agriculture,Health Care/Social,Manufacturing,72.0,16.0,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serviceton,3420
--,40 - 59,53.0,47.0,Agriculture,Health Care/Social,Manufacturing,52.0,26.0,23.0,1,,,,,,,,,,,,,,,,1,,,,3,,,,1,Jeparit,3423
50 mins,40 - 59,42.0,58.0,Construction,Transport/Warehouse,Retail trade,31.0,49.0,20.0,1,,,,,,,,,,,,,,,,,397000.0,9,,16,600000.0,18,,10,Diggers Rest,3427
1 hour 21 mins,40 - 59,52.0,48.0,Construction,Transport/Warehouse,Manufacturing,43.0,45.0,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,1,Bulla,3428
49 mins,40 - 59,51.0,49.0,Retail trade,Construction,Transport/Warehouse,29.0,50.0,21.0,3,,,,2,326000.0,42,,32,369000.0,26,,14,325000.0,42,,25,395000.0,35,82%,322,505000.0,52,66%,253,Sunbury,3429
1 hour 0 mins,40 - 59,53.0,47.0,Construction,Agriculture,Transport/Warehouse,42.0,37.0,21.0,1,,,,,,,,,,,,,,,,,,,,,,,,1,Clarkefield,3430
1 hour 5 mins,40 - 59,58.0,42.0,Construction,Retail trade,Health Care/Social,37.0,53.0,10.0,1,,,,,,,,,,,,3,,,,2,515000.0,45,,18,700000.0,106,,23,Riddells Creek,3431
--,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,Bolinda,3432
1 hour 47 mins,40 - 59,57.0,43.0,Manufacturing,Other services,Transport/Warehouse,26.0,64.0,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Monegeetta,3433
1 hour 47 mins,40 - 59,56.0,44.0,Transport/Warehouse,Construction,Retail trade,31.0,53.0,15.0,2,,,,,,,,4,,,,1,,,,9,420000.0,154,,47,520000.0,72,,39,Romsey,3434
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Cherokee,3434
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Kerrie,3434
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Springfield,3434
2 hours 7 mins,40 - 59,55.0,45.0,Construction,Health Care/Social,Manufacturing,36.0,48.0,15.0,2,,,,1,,,,,,,,,,,,5,420000.0,110,,25,510000.0,135,,22,Lancefield,3435
--,,,,,,,,,,0,,,,,,,,,,,,1,,,,,,,,2,,,,,Benloch,3435
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Nulla Vale,3435
--,40 - 59,62.0,38.0,Construction,Retail trade,Public Sector/Safety,37.0,51.0,12.0,0,,,,,,,,,,,,,,,,2,,,,2,,,,2,Bullengarook,3437
1 hour 38 mins,40 - 59,58.0,42.0,Construction,Health Care/Social,Retail trade,34.0,46.0,20.0,3,,,,1,,,,8,438000.0,,,16,,,,5,550000.0,153,50%,59,745000.0,115,31%,89,Gisborne,3437
--,40 - 59,61.0,39.0,Construction,Transport/Warehouse,Health Care/Social,52.0,44.0,4.0,0,,,,,,,,,,,,,,,,,,,,4,,,,7,Gisborne South,3437
1 hour 6 mins,5 - 19,58.0,42.0,Construction,Education & training,Retail trade,33.0,53.0,14.0,2,,,,1,,,,,,,,,,,,2,576000.0,41,,17,655000.0,83,,16,New Gisborne,3438
1 hour 23 mins,40 - 59,59.0,41.0,Education & training,Construction,Health Care/Social,42.0,44.0,13.0,2,,,,,,,,,,,,,,,,1,605000.0,,,10,695000.0,127,,21,Macedon,3440
--,40 - 59,64.0,36.0,Education & training,Manufacturing,Health Care/Social,41.0,45.0,13.0,1,,,,,,,,,,,,,,,,3,,,,8,970000.0,186,,15,Mount Macedon,3441
--,40 - 59,59.0,41.0,Construction,Manufacturing,Transport/Warehouse,40.0,49.0,11.0,0,,,,,,,,,,,,,,,,1,,,,3,,,,,Carlsruhe,3442
1 hour 20 mins,40 - 59,54.0,46.0,Health Care/Social,Education & training,Retail trade,35.0,47.0,18.0,3,,,,,,,,2,,,,4,,,,8,520000.0,82,,47,704000.0,124,,50,Woodend,3442
2 hours 22 mins,40 - 59,62.0,38.0,Education & training,Health Care/Social,Professional/Technical,44.0,45.0,11.0,1,,,,,,,,,,,,,,,,,,,,2,,,,5,Newham,3442
--,40 - 59,58.0,42.0,Health Care/Social,Education & training,Construction,46.0,47.0,8.0,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Ashbourne,3442
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Cobaw,3442
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Rochford,3442
2 hours 19 mins,40 - 59,64.0,36.0,Manufacturing,Retail trade,Public Sector/Safety,45.0,49.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,5,Woodend North,3442
--,40 - 59,58.0,42.0,Agriculture,Education & training,Health Care/Social,44.0,32.0,24.0,1,,,,,,,,,,,,,,,,,,,,1,,,,,Hesket,3442
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Cadello,3442
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Baynton East,3444
1 hour 29 mins,40 - 59,48.0,52.0,Manufacturing,Retail trade,Health Care/Social,39.0,35.0,25.0,3,,,,,,,,6,,,,,382000.0,60,,19,460000.0,105,50%,95,545000.0,174,,61,Kyneton,3444
--,40 - 59,51.0,49.0,Construction,Education & training,Retail trade,38.0,41.0,22.0,0,,,,,,,,,,,,,,,,,,,,2,,,,1,Lauriston,3444
--,40 - 59,59.0,41.0,Agriculture,Manufacturing,Health Care/Social,45.0,34.0,20.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Mia Mia,3444
--,40 - 59,61.0,39.0,Agriculture,Education & training,Construction,60.0,22.0,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Baynton,3444
--,40 - 59,51.0,49.0,Agriculture,Hospitality,Construction,54.0,30.0,16.0,1,,,,,,,,,,,,,,,,3,,,,2,,,,1,Redesdale,3444
1 hour 54 mins,40 - 59,58.0,42.0,Manufacturing,Retail trade,Education & training,38.0,45.0,17.0,1,,,,,,,,,,,,,,,,1,,,,9,,,,3,Tylden,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,1,,,,,Glenhope,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Pipers Creek,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Spring Hill,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,Pastoria,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,Barfold,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Edgecombe,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Greenhill,3444
--,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Langley,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Myrtle Creek,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2,Kyneton South,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Metcalfe East,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,Pastoria East,3444
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,2,,,,,Drummond North,3446
1 hour 37 mins,40 - 59,43.0,57.0,Retail trade,Health Care/Social,Education & training,34.0,48.0,18.0,1,,,,,,,,,,,,,,,,1,,,,9,,,,4,Malmsbury,3446
2 hours 22 mins,40 - 59,45.0,55.0,Construction,Health Care/Social,Education & training,38.0,48.0,14.0,1,,,,,,,,,,,,,,,,3,,,,8,,,,3,Taradale,3447
2 hours 24 mins,40 - 59,52.0,48.0,Manufacturing,Education & training,Health Care/Social,46.0,44.0,9.0,1,,,,,,,,,,,,,,,,1,,,,3,,,,1,Elphinstone,3448
--,60+,60.0,40.0,Agriculture,Health Care/Social,Retail trade,53.0,34.0,13.0,0,,,,,,,,,,,,,,,,2,,,,3,,,,1,Metcalfe,3448
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Sutton Grange,3448
1 hour 59 mins,60+,43.0,57.0,Health Care/Social,Manufacturing,Retail trade,44.0,27.0,29.0,3,,,,,328000.0,195,,12,,,,1,378000.0,87,,38,430000.0,142,,86,545000.0,156,,36,Castlemaine,3450
2 hours 25 mins,40 - 59,40.0,60.0,Health Care/Social,Manufacturing,Education & training,44.0,36.0,20.0,1,,,,,,,,,,,,,,,,5,450000.0,157,,12,,,,2,Chewton,3451
--,40 - 59,59.0,41.0,Health Care/Social,Manufacturing,Education & training,51.0,37.0,12.0,0,,,,,,,,,,,,,,,,4,,,,5,,,,1,Barkers Creek,3451
3 hours 5 mins,40 - 59,47.0,53.0,Retail trade,Health Care/Social,Manufacturing,37.0,44.0,19.0,2,,,,,,,,,,,,,,,,3,380000.0,298,,17,,,,5,Campbells Creek,3451
--,40 - 59,53.0,47.0,Health Care/Social,Manufacturing,Professional/Technical,50.0,38.0,12.0,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Yapeen,3451
--,40 - 59,47.0,53.0,Construction,Agriculture,Professional/Technical,56.0,36.0,8.0,0,,,,,,,,,,,,,,,,1,,,,2,,,,,Faraday,3451
--,40 - 59,38.0,62.0,Health Care/Social,Education & training,Manufacturing,41.0,42.0,17.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Fryerstown,3451
2 hours 51 mins,40 - 59,46.0,54.0,Manufacturing,Professional/Technical,Public Sector/Safety,38.0,44.0,18.0,1,,,,,,,,,,,,,,,,2,,,,5,,,,1,Guildford,3451
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Vaughan,3451
--,40 - 59,51.0,49.0,Health Care/Social,Retail trade,Manufacturing,57.0,31.0,12.0,0,,,,,,,,,,,,,,,,,,,,4,,,,4,Muckleford,3451
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Chewton Bushlands,3451
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Glenluce,3451
2 hours 24 mins,40 - 59,51.0,49.0,Health Care/Social,Construction,Retail trade,49.0,34.0,17.0,0,,,,,,,,,,,,,,,,,,,,4,495000.0,246,,13,McKenzie Hill,3451
--,40 - 59,59.0,41.0,Agriculture,Retail trade,Construction,51.0,35.0,14.0,0,,,,,,,,,,,,,,,,,,,,2,,,,1,Harcourt North,3453
3 hours 6 mins,40 - 59,50.0,50.0,Manufacturing,Health Care/Social,Retail trade,39.0,43.0,17.0,1,,,,,,,,,,,,,,,,1,405000.0,250,,13,,,,2,Harcourt,3453
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Ravenswood South,3453
--,40 - 59,65.0,35.0,Health Care/Social,Manufacturing,Retail trade,49.0,37.0,14.0,0,,,,,,,,,,,,,,,,1,,,,1,,,,1,Ravenswood,3453
--,40 - 59,40.0,60.0,Public Sector/Safety,Health Care/Social,Manufacturing,38.0,37.0,24.0,0,,,,,,,,,,,,,,,,1,,,,9,,,,4,Blackwood,3458
2 hours 8 mins,60+,52.0,48.0,Health Care/Social,Construction,Education & training,48.0,34.0,17.0,0,,,,,,,,,,,,,,,,3,480000.0,92,,21,,,,6,Trentham,3458
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,2,Newbury,3458
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Trentham East,3458
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,Barrys Reef,3458
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,Fern Hill,3458
2 hours 37 mins,40 - 59,39.0,61.0,Hospitality,Health Care/Social,Retail trade,41.0,26.0,33.0,3,,,,1,,,,,,,,,400000.0,100,,19,475000.0,139,,69,670000.0,157,,18,Daylesford,3460
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Clydesdale,3461
3 hours 26 mins,60+,30.0,70.0,Hospitality,Retail trade,Health Care/Social,37.0,21.0,42.0,0,,,,,,,,,,,,,448000.0,,,11,515000.0,192,,21,,,,,Hepburn Springs,3461
--,40 - 59,40.0,60.0,Retail trade,Construction,Hospitality,44.0,37.0,19.0,0,,,,,,,,,,,,,,,,1,,,,3,,,,,Korweinguboora,3461
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Sailors Falls,3461
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Sailors Hill,3461
--,40 - 59,40.0,60.0,Hospitality,Retail trade,Education & training,39.0,45.0,15.0,0,,,,,,,,,,,,,,,,3,,,,7,,,,1,Wheatsheaf,3461
--,40 - 59,51.0,49.0,Manufacturing,Retail trade,Health Care/Social,45.0,43.0,12.0,1,,,,,,,,,,,,,,,,,,,,2,,,,2,Drummond,3461
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Mount Franklin,3461
2 hours 21 mins,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,1,Bullarto,3461
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,,,1,Coomoora,3461
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,3,Denver,3461
4 hours 19 mins,40 - 59,44.0,56.0,Retail trade,Health Care/Social,Professional/Technical,44.0,43.0,13.0,0,,,,,,,,,,,,,,,,,,,,3,,,,1,Eganstown,3461
--,40 - 59,46.0,54.0,Health Care/Social,Hospitality,Construction,52.0,33.0,15.0,0,,,,,,,,,,,,,,,,3,,,,2,,,,,Glenlyon,3461
3 hours 18 mins,40 - 59,48.0,52.0,Health Care/Social,Hospitality,Education & training,34.0,43.0,23.0,1,,,,,,,,,,,,,,,,,433000.0,150,,18,,,,4,Hepburn,3461
2 hours 11 mins,40 - 59,51.0,49.0,Agriculture,Retail trade,Professional/Technical,53.0,21.0,25.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Musk,3461
--,40 - 59,56.0,44.0,Hospitality,Agriculture,Retail trade,55.0,30.0,15.0,0,,,,,,,,,,,,,,,,,,,,2,,,,1,Porcupine Ridge,3461
--,40 - 59,50.0,50.0,Agriculture,Construction,Health Care/Social,51.0,36.0,13.0,0,,,,,,,,,,,,,,,,1,,,,,,,,,Shepherds Flat,3461
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Leonards Hill,3461
2 hours 14 mins,40 - 59,51.0,49.0,Agriculture,Not Stated,Retail trade,44.0,37.0,19.0,0,,,,,,,,,,,,,,,,,,,,5,,,,3,Lyonville,3461
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,2,Musk Vale,3461
--,40 - 59,42.0,58.0,Agriculture,Health Care/Social,Manufacturing,64.0,23.0,12.0,1,,,,,,,,,,,,,,,,,,,,1,,,,,Yandoit,3461
3 hours 32 mins,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Elevated Plains,3461
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Franklinford,3461
2 hours 59 mins,40 - 59,46.0,54.0,Health Care/Social,Retail trade,Manufacturing,47.0,31.0,22.0,1,,,,,,,,,,,,,,,,1,,,,8,,,,3,Newstead,3462
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Green Gully,3462
2 hours 42 mins,60+,57.0,43.0,Manufacturing,Construction,Health Care/Social,48.0,34.0,18.0,0,,,,,,,,,,,,,,,,,,,,4,,,,1,Welshmans Reef,3462
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,Muckleford South,3462
2 hours 33 mins,60+,44.0,56.0,Health Care/Social,Retail trade,Manufacturing,51.0,31.0,18.0,1,,,,,,,,,,,,,309000.0,237,,15,433000.0,191,,30,455000.0,,,11,Maldon,3463
--,40 - 59,55.0,45.0,Agriculture,Manufacturing,Education & training,50.0,31.0,18.0,1,,,,,,,,,,,,,,,,1,,,,1,,,,2,Baringhup,3463
--,40 - 59,53.0,47.0,Health Care/Social,Manufacturing,Retail trade,48.0,45.0,6.0,0,,,,,,,,,,,,,,,,,,,,3,,,,3,Walmer,3463
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Laanecoorie,3463
3 hours 20 mins,40 - 59,55.0,45.0,Health Care/Social,Manufacturing,Retail trade,50.0,32.0,18.0,1,,,,,,,,,,,,,,,,5,,,,6,,,,5,Carisbrook,3464
2 hours 50 mins,60+,45.0,55.0,Manufacturing,Retail trade,Health Care/Social,43.0,26.0,31.0,3,,,,,,,,8,,,,3,205000.0,111,,23,190000.0,200,,115,345000.0,337,,35,Maryborough,3465
--,40 - 59,48.0,52.0,Agriculture,Health Care/Social,Manufacturing,47.0,36.0,17.0,0,,,,,,,,,,,,,,,,1,,,,,,,,,Majorca,3465
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Rathscar West,3465
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,1,,,,,Havelock,3465
3 hours 58 mins,40 - 59,64.0,36.0,Manufacturing,Health Care/Social,Retail trade,51.0,38.0,11.0,0,,,,,,,,,,,,,,,,2,,,,2,,,,2,Daisy Hill,3465
6 hours 53 mins,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Timor,3465
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Adelaide Lead,3465
--,40 - 59,60.0,40.0,Agriculture,Manufacturing,Retail trade,43.0,43.0,14.0,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Alma,3465
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Homebush,3465
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,Flagstaff,3465
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Golden Point,3465
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Wareek,3465
3 hours 59 mins,60+,51.0,49.0,Manufacturing,Agriculture,Retail trade,49.0,25.0,26.0,1,,,,,,,,,,,,,,,,7,200000.0,164,,19,,,,4,Avoca,3467
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Moyreisk,3467
--,40 - 59,49.0,51.0,Agriculture,Manufacturing,Health Care/Social,65.0,22.0,12.0,1,,,,,,,,,,,,,,,,1,,,,1,,,,,Amphitheatre,3468
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Mount Lonarch,3468
4 hours 28 mins,60+,61.0,39.0,Agriculture,Manufacturing,Public Sector/Safety,57.0,29.0,14.0,1,,,,,,,,,,,,,,,,3,,,,1,,,,1,Elmhurst,3469
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Glenpatrick,3469
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Nowhere Creek,3469
3 hours 40 mins,60+,44.0,56.0,Retail trade,Manufacturing,Health Care/Social,53.0,25.0,22.0,1,,,,,,,,1,,,,,,,,5,199000.0,229,,16,,,,3,Dunolly,3472
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Eddington,3472
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Betley,3472
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,McIntyre,3472
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Dunluce,3472
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Goldsborough,3472
--,60+,50.0,50.0,Manufacturing,Agriculture,Retail trade,56.0,24.0,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,1,Bet Bet,3472
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Bromley,3472
--,40 - 59,43.0,57.0,Agriculture,Manufacturing,Health Care/Social,60.0,25.0,16.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Bealiba,3475
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Emu,3475
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Cochranes Creek,3475
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Redbank,3477
--,60+,53.0,47.0,Agriculture,Manufacturing,Hospitality,58.0,28.0,14.0,1,,,,,,,,,,,,,,,,1,,,,,,,,2,Moonambel,3478
4 hours 15 mins,60+,50.0,50.0,Agriculture,Health Care/Social,Manufacturing,48.0,28.0,24.0,3,,,,,,,,1,,,,,,,,4,152000.0,364,,23,,,,4,St Arnaud,3478
--,40 - 59,57.0,43.0,Agriculture,Health Care/Social,Public Sector/Safety,63.0,26.0,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Stuart Mill,3478
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Percydale,3478
6 hours 19 mins,60+,47.0,53.0,Agriculture,Transport/Warehouse,Public Sector/Safety,52.0,26.0,22.0,1,,,,,,,,,,,,,,,,,,,,,,,,2,Woomelang,3485
--,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Tempy,3489
7 hours 19 mins,60+,53.0,47.0,Health Care/Social,Agriculture,Retail trade,53.0,20.0,26.0,2,,,,,,,,,,,,,,,,1,130000.0,96,,15,,,,2,Ouyen,3490
--,40 - 59,54.0,46.0,Agriculture,Manufacturing,Construction,32.0,26.0,43.0,0,,,,,,,,,,,,,,,,1,,,,,,,,1,Iraak,3494
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Carwarp,3494
--,40 - 59,51.0,49.0,Agriculture,Manufacturing,Administration,29.0,21.0,50.0,0,,,,,,,,,,,,,,,,,,,,1,,,,,Colignan,3494
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Nangiloc,3494
16 hours 53 mins,40 - 59,47.0,53.0,Agriculture,Retail trade,Manufacturing,33.0,38.0,30.0,3,,,,,,,,,,,,,,,,7,217000.0,102,,42,250000.0,46,,17,Red Cliffs,3496
--,40 - 59,67.0,33.0,Agriculture,Transport/Warehouse,Education & training,44.0,22.0,34.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Werrimull,3496
--,40 - 59,53.0,47.0,Agriculture,Retail trade,Construction,36.0,43.0,21.0,1,,,,,,,,,,,,,,,,,,,,6,,,,3,Cardross,3496
--,40 - 59,47.0,53.0,Agriculture,Retail trade,Manufacturing,33.0,38.0,30.0,1,,,,,,,,,,,,,,,,7,217000.0,102,,42,250000.0,46,,17,Sunnycliffs,3496
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,,,,Cullulleraine,3496
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Merrinee,3496
16 hours 49 mins,40 - 59,56.0,44.0,Retail trade,Agriculture,Health Care/Social,37.0,43.0,20.0,3,,,,,,,,1,,,,1,,,,6,287000.0,55,,42,380000.0,36,,33,Irymple,3498
16 hours 58 mins,20 - 39,46.0,54.0,Retail trade,Health Care/Social,Education & training,29.0,30.0,40.0,3,,,,,152000.0,87,,51,,,,6,188000.0,46,,85,251000.0,61,50%,446,357000.0,112,47%,162,Mildura,3500
16 hours 58 mins,20 - 39,46.0,54.0,Retail trade,Health Care/Social,Education & training,29.0,30.0,40.0,0,,,,,152000.0,87,,51,,,,6,188000.0,46,,85,251000.0,61,50%,446,357000.0,112,47%,162,Mildura South,3500
17 hours 53 mins,40 - 59,59.0,41.0,Construction,Retail trade,Health Care/Social,41.0,41.0,18.0,1,,,,,,,,,,,,,,,,1,,,,7,,,,5,Nichols Point,3501
--,40 - 59,59.0,41.0,Agriculture,Construction,Manufacturing,33.0,55.0,12.0,1,,,,,,,,,,,,,,,,1,,,,1,,,,3,Koorlong,3501
--,40 - 59,75.0,25.0,Retail trade,Media/Telecom.,Education & training,50.0,50.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Hattah,3501
