price,landsize,address,park,bed,bath,longitude,latitude,date,property_type
"$777,500",Internal area 0.00,"556 Drummond Street, CARLTON NORTH VIC 3054",-,3,1,144.970245,-37.7921181,Sold at auction 17 March 2012
"$854,000",Internal area 0.00,"8 Garton Street, CARLTON NORTH VIC 3054",-,3,1,144.963715,-37.78469,Sold at auction 05 November 2011
"$727,000",Internal area 0.00,"201 Richardson Street, CARLTON NORTH VIC 3054",-,3,1,144.969055,-37.78449,Sold by private treaty 04 July 2011
"$1,555,000",Internal area 0.00,"80 Curtain Street, CARLTON NORTH VIC 3054",-,3,2,144.97348,-37.78873,Sold by private treaty 12 May 2011
"$730,000",Land area Approx,"87 Richardson Street, Carlton North VIC 3054",-,3,1,144.9734,-37.78491,Sold by private treaty 19 June 2010
Price Withheld,Land area 240 m2,"949 Rathdowne Street, Carlton North VIC 3054",-,3,1,144.972824,-37.7818451,Sold by private treaty 13 June 2015
"$1,320,000",Land area 223 m2,"32 Princes Street, Carlton North VIC 3054",-,3,1,144.974487,-37.7927055,Sold by private treaty 04 May 2017
"$1,290,000",Land area 276 m2,"263 Canning Street, CARLTON NORTH VIC 3054",1,3,1,144.973526,-37.7917,Sold by private treaty 30 November 2013
"$1,500,000
        price from APM PriceFinder",Land area 206 m2,"60 Newry Street, Carlton North VIC 3054",1,3,2,144.971313,-37.7892456,Sold at auction 02 March 2013
"$655,000",Land area 100 m2,"78 Princes Street, CARLTON NORTH VIC 3054",1,3,1,144.972839,-37.7925835,Sold by private treaty 27 September 2012
"$1,100,000",Internal area 0.00,"77 McIlwraith Street, CARLTON NORTH VIC 3054",1,3,1,144.96788,-37.7833023,Sold at auction 17 March 2012
"$777,500",Internal area 0.00,"556 Drummond Street, CARLTON NORTH VIC 3054",1,3,1,144.970245,-37.7921181,Sold at auction 17 March 2012
"$872,000",Internal area 0.00,"34 O'Grady Street, CARLTON NORTH VIC 3054",1,3,1,144.972824,-37.7903824,Sold by private treaty 06 March 2012
"$844,000",Internal area 0.00,"512 Canning Street, CARLTON NORTH VIC 3054",1,3,1,144.975449,-37.7847939,Sold by private treaty 19 December 2011
"$844,000",Internal area 0.00,"512 Canning Street, CARLTON NORTH VIC 3054",1,3,1,144.975449,-37.7847939,Sold by private treaty 19 December 2011
"$1,550,000",Internal area 0.00,"1042 Drummond Street, CARLTON NORTH VIC 3054",1,3,1,144.972427,-37.7797852,Sold at auction 10 December 2011
"$955,000",Internal area 0.00,"821 Drummond Street, CARLTON NORTH VIC 3054",1,3,1,144.970627,-37.7852478,Sold at auction 03 December 2011
"$1,200,000
        price from APM PriceFinder",Land area 254 m2,"68 McIlwraith Street, CARLTON NORTH VIC 3054",1,3,2,144.96875,-37.7835732,Sold by private treaty 24 November 2011
"$1,300,000",Internal area 0.00,"539 Canning Street, CARLTON NORTH VIC 3054",1,3,1,144.974884,-37.7836456,Sold at auction 12 November 2011
"$1,160,000",Internal area 0.00,"18 Pigdon Street, CARLTON NORTH VIC 3054",1,3,3,144.9771,-37.7825127,Sold by private treaty 21 July 2011
"$523,500",Internal area 76 m2,"406S/750 Bourke Street, Docklands VIC 3008",-,2,2,144.9479,-37.8183823,Sold by private treaty 01 December 2014
"$450,000
        price from APM PriceFinder",Internal area 92 m2,"105/601  Little Collins Street, Docklands VIC 3008",-,2,2,144.963608,-37.8152275,Sold by private treaty 09 March 2017
Price Withheld,Internal area 57,"1703/421 Docklands Drive, Docklands VIC 3008",-,2,1,144.93959,-37.81434,Sold by private treaty 04 October 2017
"$630,000","Land area 96 m2
Internal area 91.00","2206/100 Harbour Esplanade, Docklands VIC 3008",1,2,2,144.946976,-37.818306,Sold by private treaty 10 July 2017
"$570,000",Internal area 81,"406/815 Bourke Street, Docklands VIC 3008",1,2,2,144.944656,-37.81981,Sold by private treaty 06 July 2017
"$515,000",Internal area 61,"1806/8 Marmion Place, Docklands VIC 3008",1,2,1,144.942215,-37.813324,Sold by private treaty 26 May 2017
"$650,000",Land area 104.5 m2,"3506/100 Harbour Esplanade, Docklands VIC 3008",1,2,2,144.946609,-37.8180656,Sold by private treaty 30 March 2017
"$620,000",Internal area 91.00,"1707/100 Harbour Esplanade, Docklands VIC 3008",1,2,2,144.946609,-37.8180656,Sold by private treaty 24 March 2017
"$370,000","Land area 63 m2
Internal area 58.00","213 / 231-245 Harbour Esplanade, Docklands VIC 3008",1,2,1,144.943512,-37.81339,Sold by private treaty 20 December 2016
"$750,000",Internal area 92,"1301/9 Waterside Place, Docklands VIC 3008",1,2,2,144.941544,-37.82003,Sold by private treaty 18 November 2016
"$536,000",Internal area 75 m2,"617S/750 Bourke Street, Docklands VIC 3008",1,2,2,144.946609,-37.8180656,Sold by private treaty 19 August 2016
"$478,000",Internal area 78,"1407/100 Harbour Esplanade, Docklands VIC 3008",1,2,1,144.946915,-37.8187027,Sold by private treaty 28 July 2016
"$562,500",Land area 17122014 m2,"1504//8 McCrae Street , DOCKLANDS VIC 3008",1,2,2,144.950974,-37.82161,Sold by private treaty 06 April 2016
"$510,000","Land area 9 m2
Internal area 75","915/100 Harbour Esplanade, DOCKLANDS VIC 3008",1,2,1,144.946915,-37.8187027,Sold by private treaty 08 July 2015
"$485,000
        price from APM PriceFinder",Internal area 79,"809/463 Docklands Drive, Docklands VIC 3008",1,2,1,144.937363,-37.81523,Sold by private treaty 19 May 2015
"$500,000",Internal area 70 m2,"1009/100 Harbour Esplanade, DOCKLANDS VIC 3008",1,2,1,144.946915,-37.8187027,Sold by private treaty 21 November 2014
"$453,000",Internal area 585,"806/673 Latrobe Street, DOCKLANDS VIC 3008",1,2,2,144.947159,-37.81446,Sold by private treaty 03 May 2013
"$455,000
        price from APM PriceFinder",Internal area 78,"1102/8 McCrae Street, Docklands VIC 3008",1,2,1,144.95076,-37.8215637,Sold at auction 18 July 2012
